0,0,58
1,1,61
2,2,52
3,3,51
4,4,50
5,5,17
6,6,69
7,7,13
8,8,90
9,9,62
10,10,91
11,11,75
12,12,20
13,13,79
14,14,34
15,15,17
16,16,77
17,17,99
18,18,64
19,19,58
20,20,21
21,21,35
22,22,36
23,23,61
24,24,77
25,25,79
26,26,87
27,27,77
28,28,99
29,29,15
30,30,74
31,31,1
32,32,96
33,33,28
34,34,39
35,35,46
36,36,56
37,37,17
38,38,2
39,39,74
40,40,80
41,41,11
42,42,22
43,43,41
44,44,81
45,45,55
46,46,39
47,47,5
48,48,51
49,49,46
50,50,14
51,51,99
52,52,49
53,53,14
54,54,48
55,55,3
56,56,64
57,57,79
58,58,61
59,59,10
60,60,88
61,61,95
62,62,21
63,63,61
64,64,29
65,65,19
66,66,22
67,67,37
68,68,74
69,69,10
70,70,74
71,71,72
72,72,81
73,73,86
74,74,56
75,75,13
76,76,54
77,77,86
78,78,58
79,79,55
80,80,67
81,81,28
82,82,86
83,83,5
84,84,69
85,85,38
86,86,49
87,87,49
88,88,64
89,89,55
90,90,55
91,91,3
92,92,22
93,93,25
94,94,21
95,95,42
96,96,4
97,97,43
98,98,55
99,99,25
100,100,37
101,101,14
102,102,68
103,103,99
104,104,22
105,105,42
106,106,30
107,107,46
108,108,70
109,109,38
110,110,37
111,111,13
112,112,18
113,113,39
114,114,91
115,115,69
116,116,39
117,117,33
118,118,19
119,119,45
120,120,62
121,121,2
122,122,8
123,123,35
124,124,98
125,125,50
126,126,65
127,127,27
128,128,56
129,129,28
130,130,81
131,131,24
132,132,76
133,133,14
134,134,87
135,135,87
136,136,50
137,137,98
138,138,8
139,139,68
140,140,31
141,141,65
142,142,63
143,143,4
144,144,79
145,145,53
146,146,14
147,147,30
148,148,89
149,149,60
150,150,90
151,151,67
152,152,94
153,153,77
154,154,7
155,155,29
156,156,77
157,157,15
158,158,2
159,159,29
160,160,39
161,161,78
162,162,40
163,163,57
164,164,49
165,165,99
166,166,53
167,167,4
168,168,83
169,169,12
170,170,17
171,171,55
172,172,40
173,173,32
174,174,83
175,175,14
176,176,33
177,177,57
178,178,72
179,179,100
180,180,23
181,181,58
182,182,89
183,183,84
184,184,35
185,185,82
186,186,76
187,187,51
188,188,74
189,189,54
190,190,31
191,191,27
192,192,63
193,193,56
194,194,2
195,195,78
196,196,46
197,197,5
198,198,49
199,199,15
200,200,31
201,201,74
202,202,99
203,203,79
204,204,91
205,205,58
206,206,33
207,207,50
208,208,100
209,209,61
210,210,83
211,211,96
212,212,49
213,213,31
214,214,8
215,215,96
216,216,27
217,217,60
218,218,77
219,219,9
220,220,34
221,221,49
222,222,11
223,223,97
224,224,21
225,225,79
226,226,41
227,227,13
228,228,26
229,229,15
230,230,77
231,231,73
232,232,43
233,233,70
234,234,52
235,235,31
236,236,55
237,237,39
238,238,87
239,239,29
240,240,19
241,241,84
242,242,68
243,243,59
244,244,69
245,245,66
246,246,57
247,247,82
248,248,20
249,249,34
250,250,67
251,251,88
252,252,59
253,253,76
254,254,25
255,255,31
256,256,87
257,257,52
258,258,17
259,259,84
260,260,13
261,261,48
262,262,81
263,263,35
264,264,57
265,265,58
266,266,62
267,267,86
268,268,44
269,269,69
270,270,42
271,271,60
272,272,46
273,273,15
274,274,40
275,275,69
276,276,98
277,277,8
278,278,98
279,279,62
280,280,56
281,281,19
282,282,7
283,283,92
284,284,25
285,285,20
286,286,83
287,287,57
288,288,69
289,289,14
290,290,27
291,291,19
292,292,12
293,293,53
294,294,100
295,295,1
296,296,100
297,297,64
298,298,38
299,299,38
300,300,57
301,301,45
302,302,68
303,303,29
304,304,13
305,305,93
